,LR,DO,max_df,model,mean f1,std f1
1,0.001,0.5,0.5,GCN,0.114656659696311,0.0014997798618951656
2,0.001,0.5,0.5,EGCN,0.48831360775909266,0.006824086629141828
3,0.005,0.5,0.5,GCN,0.4982979051108391,0.001197699889422258
4,0.005,0.5,0.5,EGCN,0.53231530988392,0.0038757609900877646
5,0.01,0.5,0.5,GCN,0.5379564652217641,0.000962647200393334
6,0.01,0.5,0.5,EGCN,0.5502645779894099,0.009349529005870999
7,0.05,0.5,0.5,GCN,0.5448818268623364,0.009103747239510086
8,0.05,0.5,0.5,EGCN,0.4419191130766616,0.005915393417567045
9,0.001,0.7,0.5,GCN,0.08874421606527676,0.004614823883758852
10,0.001,0.7,0.5,EGCN,0.50128998832174,0.002352668266912411
11,0.005,0.7,0.5,GCN,0.49429739922591115,0.003120574868409593
12,0.005,0.7,0.5,EGCN,0.5437798674820921,0.006402057216102634
13,0.01,0.7,0.5,GCN,0.5512939362187145,0.008242285328693517
14,0.01,0.7,0.5,EGCN,0.5532999052449395,0.006500483179234526
15,0.05,0.7,0.5,GCN,0.5689142249582632,0.003953368272518299
16,0.05,0.7,0.5,EGCN,0.4612485189243036,0.0068733636322053275
17,0.001,0.5,0.6,GCN,0.1244101508276418,0.006294468071661409
18,0.001,0.5,0.6,EGCN,0.49571382256130087,0.003751994747141124
19,0.005,0.5,0.6,GCN,0.4982804971913331,0.0022747285188954966
20,0.005,0.5,0.6,EGCN,0.533927295076433,0.008038653540769535
21,0.01,0.5,0.6,GCN,0.5404807421667465,0.0051117685943271795
22,0.01,0.5,0.6,EGCN,0.5547531697281963,0.0031045372298622417
23,0.05,0.5,0.6,GCN,0.5493249728962846,0.005787209366127227
24,0.05,0.5,0.6,EGCN,0.4352628171086906,0.00010213432165734255
25,0.001,0.7,0.6,GCN,0.0904183355687444,0.009473700694286625
26,0.001,0.7,0.6,EGCN,0.49206394829827876,0.004183003808206162
27,0.005,0.7,0.6,GCN,0.499831009981165,0.0006976858602131598
28,0.005,0.7,0.6,EGCN,0.5403439897556602,0.006137897507126679
29,0.01,0.7,0.6,GCN,0.5484177635759908,0.006661549540614367
30,0.01,0.7,0.6,EGCN,0.5532689941483643,0.004357205776014791
31,0.05,0.7,0.6,GCN,0.5731263245531769,0.0035643771826417174
32,0.05,0.7,0.6,EGCN,0.4600536122906816,0.015531441763536892
33,0.001,0.5,0.7,GCN,0.12138045868941039,0.004434987442861529
34,0.001,0.5,0.7,EGCN,0.49626508684047627,0.007807769421340972
35,0.005,0.5,0.7,GCN,0.4966149185136283,0.0076369122047935025
36,0.005,0.5,0.7,EGCN,0.5322765639316939,0.008499249201045856
37,0.01,0.5,0.7,GCN,0.5379418165214915,0.00917222102312373
38,0.01,0.5,0.7,EGCN,0.5527393264377013,0.005253667283013182
39,0.05,0.5,0.7,GCN,0.5434112229551804,0.008802975123193302
40,0.05,0.5,0.7,EGCN,0.4224881527462414,0.011726774143504995
41,0.001,0.7,0.7,GCN,0.09474131698019028,0.006476561519912127
42,0.001,0.7,0.7,EGCN,0.49324802070478624,0.00149534601665785
43,0.005,0.7,0.7,GCN,0.4956869476701406,0.003060279380627223
44,0.005,0.7,0.7,EGCN,0.5435383597376425,0.00129738259581996
45,0.01,0.7,0.7,GCN,0.5541496698439803,0.006921616055788885
46,0.01,0.7,0.7,EGCN,0.5537271437843335,0.006295407454900071
47,0.05,0.7,0.7,GCN,0.571715564599678,0.004424078427529833
48,0.05,0.7,0.7,EGCN,0.473529394731065,0.00519232120763231
